action_gap,cue_probability,n_episodes,seed,tolerance,information_scale,correct_memory_certified,false_short_certification
0.2,0.1,20000,28,0.05,80.00000000000001,True,False
0.2,0.1,20000,29,0.05,80.00000000000001,True,False
0.2,0.2,100,0,0.05,0.8000000000000002,False,False
0.2,0.2,100,1,0.05,0.8000000000000002,False,False
0.2,0.2,100,2,0.05,0.8000000000000002,False,False
0.2,0.2,100,3,0.05,0.8000000000000002,False,False
0.2,0.2,100,4,0.05,0.8000000000000002,False,False
0.2,0.2,100,5,0.05,0.8000000000000002,False,False
0.2,0.2,100,6,0.05,0.8000000000000002,False,False
0.2,0.2,100,7,0.05,0.8000000000000002,False,False
0.2,0.2,100,8,0.05,0.8000000000000002,False,False
0.2,0.2,100,9,0.05,0.8000000000000002,False,False
0.2,0.2,100,10,0.05,0.8000000000000002,False,False
0.2,0.2,100,11,0.05,0.8000000000000002,False,False
0.2,0.2,100,12,0.05,0.8000000000000002,False,False
0.2,0.2,100,13,0.05,0.8000000000000002,False,False
0.2,0.2,100,14,0.05,0.8000000000000002,False,False
0.2,0.2,100,15,0.05,0.8000000000000002,False,False
0.2,0.2,100,16,0.05,0.8000000000000002,False,False
0.2,0.2,100,17,0.05,0.8000000000000002,False,False
0.2,0.2,100,18,0.05,0.8000000000000002,False,False
0.2,0.2,100,19,0.05,0.8000000000000002,False,False
0.2,0.2,100,20,0.05,0.8000000000000002,False,False
0.2,0.2,100,21,0.05,0.8000000000000002,False,False
0.2,0.2,100,22,0.05,0.8000000000000002,False,False
0.2,0.2,100,23,0.05,0.8000000000000002,False,False
0.2,0.2,100,24,0.05,0.8000000000000002,False,False
0.2,0.2,100,25,0.05,0.8000000000000002,False,False
0.2,0.2,100,26,0.05,0.8000000000000002,False,False
0.2,0.2,100,27,0.05,0.8000000000000002,False,False
0.2,0.2,100,28,0.05,0.8000000000000002,False,False
0.2,0.2,100,29,0.05,0.8000000000000002,False,False
0.2,0.2,200,0,0.05,1.6000000000000003,False,False
0.2,0.2,200,1,0.05,1.6000000000000003,False,False
0.2,0.2,200,2,0.05,1.6000000000000003,False,False
0.2,0.2,200,3,0.05,1.6000000000000003,False,False
0.2,0.2,200,4,0.05,1.6000000000000003,False,False
0.2,0.2,200,5,0.05,1.6000000000000003,False,False
0.2,0.2,200,6,0.05,1.6000000000000003,False,False
0.2,0.2,200,7,0.05,1.6000000000000003,False,False
0.2,0.2,200,8,0.05,1.6000000000000003,False,False
0.2,0.2,200,9,0.05,1.6000000000000003,False,False
0.2,0.2,200,10,0.05,1.6000000000000003,False,False
0.2,0.2,200,11,0.05,1.6000000000000003,False,False
0.2,0.2,200,12,0.05,1.6000000000000003,False,False
0.2,0.2,200,13,0.05,1.6000000000000003,False,False
0.2,0.2,200,14,0.05,1.6000000000000003,False,False
0.2,0.2,200,15,0.05,1.6000000000000003,False,False
0.2,0.2,200,16,0.05,1.6000000000000003,False,False
0.2,0.2,200,17,0.05,1.6000000000000003,False,False
0.2,0.2,200,18,0.05,1.6000000000000003,False,False
0.2,0.2,200,19,0.05,1.6000000000000003,False,False
0.2,0.2,200,20,0.05,1.6000000000000003,False,False
0.2,0.2,200,21,0.05,1.6000000000000003,False,False
0.2,0.2,200,22,0.05,1.6000000000000003,False,False
0.2,0.2,200,23,0.05,1.6000000000000003,False,False
0.2,0.2,200,24,0.05,1.6000000000000003,False,False
0.2,0.2,200,25,0.05,1.6000000000000003,False,False
0.2,0.2,200,26,0.05,1.6000000000000003,False,False
0.2,0.2,200,27,0.05,1.6000000000000003,False,False
0.2,0.2,200,28,0.05,1.6000000000000003,False,False
0.2,0.2,200,29,0.05,1.6000000000000003,False,False
0.2,0.2,500,0,0.05,4.000000000000001,False,False
0.2,0.2,500,1,0.05,4.000000000000001,False,False
0.2,0.2,500,2,0.05,4.000000000000001,False,False
0.2,0.2,500,3,0.05,4.000000000000001,False,False
0.2,0.2,500,4,0.05,4.000000000000001,False,False
0.2,0.2,500,5,0.05,4.000000000000001,False,False
0.2,0.2,500,6,0.05,4.000000000000001,False,False
0.2,0.2,500,7,0.05,4.000000000000001,False,False
0.2,0.2,500,8,0.05,4.000000000000001,False,False
0.2,0.2,500,9,0.05,4.000000000000001,False,False
0.2,0.2,500,10,0.05,4.000000000000001,False,False
0.2,0.2,500,11,0.05,4.000000000000001,False,False
0.2,0.2,500,12,0.05,4.000000000000001,False,False
0.2,0.2,500,13,0.05,4.000000000000001,False,False
0.2,0.2,500,14,0.05,4.000000000000001,False,False
0.2,0.2,500,15,0.05,4.000000000000001,False,False
0.2,0.2,500,16,0.05,4.000000000000001,False,False
0.2,0.2,500,17,0.05,4.000000000000001,False,False
0.2,0.2,500,18,0.05,4.000000000000001,False,False
0.2,0.2,500,19,0.05,4.000000000000001,False,False
0.2,0.2,500,20,0.05,4.000000000000001,False,False
0.2,0.2,500,21,0.05,4.000000000000001,False,False
0.2,0.2,500,22,0.05,4.000000000000001,False,False
0.2,0.2,500,23,0.05,4.000000000000001,False,False
0.2,0.2,500,24,0.05,4.000000000000001,False,False
0.2,0.2,500,25,0.05,4.000000000000001,False,False
0.2,0.2,500,26,0.05,4.000000000000001,False,False
0.2,0.2,500,27,0.05,4.000000000000001,False,False
0.2,0.2,500,28,0.05,4.000000000000001,False,False
0.2,0.2,500,29,0.05,4.000000000000001,False,False
0.2,0.2,1000,0,0.05,8.000000000000002,False,False
0.2,0.2,1000,1,0.05,8.000000000000002,False,False
0.2,0.2,1000,2,0.05,8.000000000000002,False,False
0.2,0.2,1000,3,0.05,8.000000000000002,False,False
0.2,0.2,1000,4,0.05,8.000000000000002,False,False
0.2,0.2,1000,5,0.05,8.000000000000002,False,False
0.2,0.2,1000,6,0.05,8.000000000000002,False,False
0.2,0.2,1000,7,0.05,8.000000000000002,False,False
0.2,0.2,1000,8,0.05,8.000000000000002,False,False
0.2,0.2,1000,9,0.05,8.000000000000002,False,False
0.2,0.2,1000,10,0.05,8.000000000000002,False,False
0.2,0.2,1000,11,0.05,8.000000000000002,False,False
0.2,0.2,1000,12,0.05,8.000000000000002,False,False
0.2,0.2,1000,13,0.05,8.000000000000002,False,False
0.2,0.2,1000,14,0.05,8.000000000000002,False,False
0.2,0.2,1000,15,0.05,8.000000000000002,False,False
0.2,0.2,1000,16,0.05,8.000000000000002,True,False
0.2,0.2,1000,17,0.05,8.000000000000002,False,False
0.2,0.2,1000,18,0.05,8.000000000000002,False,False
0.2,0.2,1000,19,0.05,8.000000000000002,False,False
0.2,0.2,1000,20,0.05,8.000000000000002,False,False
0.2,0.2,1000,21,0.05,8.000000000000002,False,False
0.2,0.2,1000,22,0.05,8.000000000000002,False,False
0.2,0.2,1000,23,0.05,8.000000000000002,False,False
0.2,0.2,1000,24,0.05,8.000000000000002,False,False
0.2,0.2,1000,25,0.05,8.000000000000002,False,False
0.2,0.2,1000,26,0.05,8.000000000000002,False,False
0.2,0.2,1000,27,0.05,8.000000000000002,False,False
0.2,0.2,1000,28,0.05,8.000000000000002,False,False
0.2,0.2,1000,29,0.05,8.000000000000002,False,False
0.2,0.2,2000,0,0.05,16.000000000000004,False,False
0.2,0.2,2000,1,0.05,16.000000000000004,False,False
0.2,0.2,2000,2,0.05,16.000000000000004,True,False
0.2,0.2,2000,3,0.05,16.000000000000004,False,False
0.2,0.2,2000,4,0.05,16.000000000000004,False,False
0.2,0.2,2000,5,0.05,16.000000000000004,True,False
0.2,0.2,2000,6,0.05,16.000000000000004,False,False
0.2,0.2,2000,7,0.05,16.000000000000004,False,False
0.2,0.2,2000,8,0.05,16.000000000000004,True,False
0.2,0.2,2000,9,0.05,16.000000000000004,False,False
0.2,0.2,2000,10,0.05,16.000000000000004,False,False
0.2,0.2,2000,11,0.05,16.000000000000004,False,False
0.2,0.2,2000,12,0.05,16.000000000000004,True,False
0.2,0.2,2000,13,0.05,16.000000000000004,True,False
0.2,0.2,2000,14,0.05,16.000000000000004,True,False
0.2,0.2,2000,15,0.05,16.000000000000004,False,False
0.2,0.2,2000,16,0.05,16.000000000000004,True,False
0.2,0.2,2000,17,0.05,16.000000000000004,False,False
0.2,0.2,2000,18,0.05,16.000000000000004,True,False
0.2,0.2,2000,19,0.05,16.000000000000004,True,False
0.2,0.2,2000,20,0.05,16.000000000000004,True,False
0.2,0.2,2000,21,0.05,16.000000000000004,True,False
0.2,0.2,2000,22,0.05,16.000000000000004,True,False
0.2,0.2,2000,23,0.05,16.000000000000004,False,False
0.2,0.2,2000,24,0.05,16.000000000000004,True,False
0.2,0.2,2000,25,0.05,16.000000000000004,False,False
0.2,0.2,2000,26,0.05,16.000000000000004,True,False
0.2,0.2,2000,27,0.05,16.000000000000004,False,False
0.2,0.2,2000,28,0.05,16.000000000000004,True,False
0.2,0.2,2000,29,0.05,16.000000000000004,False,False
0.2,0.2,5000,0,0.05,40.00000000000001,True,False
0.2,0.2,5000,1,0.05,40.00000000000001,True,False
0.2,0.2,5000,2,0.05,40.00000000000001,True,False
0.2,0.2,5000,3,0.05,40.00000000000001,True,False
0.2,0.2,5000,4,0.05,40.00000000000001,True,False
0.2,0.2,5000,5,0.05,40.00000000000001,True,False
0.2,0.2,5000,6,0.05,40.00000000000001,True,False
0.2,0.2,5000,7,0.05,40.00000000000001,True,False
0.2,0.2,5000,8,0.05,40.00000000000001,True,False
0.2,0.2,5000,9,0.05,40.00000000000001,True,False
0.2,0.2,5000,10,0.05,40.00000000000001,True,False
0.2,0.2,5000,11,0.05,40.00000000000001,True,False
0.2,0.2,5000,12,0.05,40.00000000000001,True,False
0.2,0.2,5000,13,0.05,40.00000000000001,True,False
0.2,0.2,5000,14,0.05,40.00000000000001,True,False
0.2,0.2,5000,15,0.05,40.00000000000001,True,False
0.2,0.2,5000,16,0.05,40.00000000000001,True,False
0.2,0.2,5000,17,0.05,40.00000000000001,True,False
0.2,0.2,5000,18,0.05,40.00000000000001,True,False
0.2,0.2,5000,19,0.05,40.00000000000001,True,False
0.2,0.2,5000,20,0.05,40.00000000000001,True,False
0.2,0.2,5000,21,0.05,40.00000000000001,True,False
0.2,0.2,5000,22,0.05,40.00000000000001,True,False
0.2,0.2,5000,23,0.05,40.00000000000001,True,False
0.2,0.2,5000,24,0.05,40.00000000000001,True,False
0.2,0.2,5000,25,0.05,40.00000000000001,True,False
0.2,0.2,5000,26,0.05,40.00000000000001,True,False
0.2,0.2,5000,27,0.05,40.00000000000001,True,False
0.2,0.2,5000,28,0.05,40.00000000000001,True,False
0.2,0.2,5000,29,0.05,40.00000000000001,True,False
0.2,0.2,10000,0,0.05,80.00000000000001,True,False
0.2,0.2,10000,1,0.05,80.00000000000001,True,False
0.2,0.2,10000,2,0.05,80.00000000000001,True,False
0.2,0.2,10000,3,0.05,80.00000000000001,True,False
0.2,0.2,10000,4,0.05,80.00000000000001,True,False
0.2,0.2,10000,5,0.05,80.00000000000001,True,False
0.2,0.2,10000,6,0.05,80.00000000000001,True,False
0.2,0.2,10000,7,0.05,80.00000000000001,True,False
0.2,0.2,10000,8,0.05,80.00000000000001,True,False
0.2,0.2,10000,9,0.05,80.00000000000001,True,False
0.2,0.2,10000,10,0.05,80.00000000000001,True,False
0.2,0.2,10000,11,0.05,80.00000000000001,True,False
0.2,0.2,10000,12,0.05,80.00000000000001,True,False
0.2,0.2,10000,13,0.05,80.00000000000001,True,False
0.2,0.2,10000,14,0.05,80.00000000000001,True,False
0.2,0.2,10000,15,0.05,80.00000000000001,True,False
0.2,0.2,10000,16,0.05,80.00000000000001,True,False
0.2,0.2,10000,17,0.05,80.00000000000001,True,False
0.2,0.2,10000,18,0.05,80.00000000000001,True,False
0.2,0.2,10000,19,0.05,80.00000000000001,True,False
0.2,0.2,10000,20,0.05,80.00000000000001,True,False
0.2,0.2,10000,21,0.05,80.00000000000001,True,False
0.2,0.2,10000,22,0.05,80.00000000000001,True,False
0.2,0.2,10000,23,0.05,80.00000000000001,True,False
0.2,0.2,10000,24,0.05,80.00000000000001,True,False
0.2,0.2,10000,25,0.05,80.00000000000001,True,False
0.2,0.2,10000,26,0.05,80.00000000000001,True,False
0.2,0.2,10000,27,0.05,80.00000000000001,True,False
0.2,0.2,10000,28,0.05,80.00000000000001,True,False
0.2,0.2,10000,29,0.05,80.00000000000001,True,False
0.2,0.2,20000,0,0.05,160.00000000000003,True,False
0.2,0.2,20000,1,0.05,160.00000000000003,True,False
0.2,0.2,20000,2,0.05,160.00000000000003,True,False
0.2,0.2,20000,3,0.05,160.00000000000003,True,False
0.2,0.2,20000,4,0.05,160.00000000000003,True,False
0.2,0.2,20000,5,0.05,160.00000000000003,True,False
0.2,0.2,20000,6,0.05,160.00000000000003,True,False
0.2,0.2,20000,7,0.05,160.00000000000003,True,False
0.2,0.2,20000,8,0.05,160.00000000000003,True,False
0.2,0.2,20000,9,0.05,160.00000000000003,True,False
0.2,0.2,20000,10,0.05,160.00000000000003,True,False
0.2,0.2,20000,11,0.05,160.00000000000003,True,False
0.2,0.2,20000,12,0.05,160.00000000000003,True,False
0.2,0.2,20000,13,0.05,160.00000000000003,True,False
0.2,0.2,20000,14,0.05,160.00000000000003,True,False
0.2,0.2,20000,15,0.05,160.00000000000003,True,False
0.2,0.2,20000,16,0.05,160.00000000000003,True,False
0.2,0.2,20000,17,0.05,160.00000000000003,True,False
0.2,0.2,20000,18,0.05,160.00000000000003,True,False
0.2,0.2,20000,19,0.05,160.00000000000003,True,False
0.2,0.2,20000,20,0.05,160.00000000000003,True,False
0.2,0.2,20000,21,0.05,160.00000000000003,True,False
0.2,0.2,20000,22,0.05,160.00000000000003,True,False
0.2,0.2,20000,23,0.05,160.00000000000003,True,False
0.2,0.2,20000,24,0.05,160.00000000000003,True,False
0.2,0.2,20000,25,0.05,160.00000000000003,True,False
0.2,0.2,20000,26,0.05,160.00000000000003,True,False
0.2,0.2,20000,27,0.05,160.00000000000003,True,False
0.2,0.2,20000,28,0.05,160.00000000000003,True,False
0.2,0.2,20000,29,0.05,160.00000000000003,True,False
0.2,0.5,100,0,0.05,2.0000000000000004,False,False
0.2,0.5,100,1,0.05,2.0000000000000004,False,False
0.2,0.5,100,2,0.05,2.0000000000000004,False,False
0.2,0.5,100,3,0.05,2.0000000000000004,False,False
0.2,0.5,100,4,0.05,2.0000000000000004,False,False
0.2,0.5,100,5,0.05,2.0000000000000004,False,False
0.2,0.5,100,6,0.05,2.0000000000000004,False,False
0.2,0.5,100,7,0.05,2.0000000000000004,False,False
0.2,0.5,100,8,0.05,2.0000000000000004,False,False
0.2,0.5,100,9,0.05,2.0000000000000004,False,False
0.2,0.5,100,10,0.05,2.0000000000000004,False,False
0.2,0.5,100,11,0.05,2.0000000000000004,False,False
0.2,0.5,100,12,0.05,2.0000000000000004,False,False
0.2,0.5,100,13,0.05,2.0000000000000004,False,False
0.2,0.5,100,14,0.05,2.0000000000000004,False,False
0.2,0.5,100,15,0.05,2.0000000000000004,False,False
0.2,0.5,100,16,0.05,2.0000000000000004,False,False
0.2,0.5,100,17,0.05,2.0000000000000004,False,False
0.2,0.5,100,18,0.05,2.0000000000000004,False,False
0.2,0.5,100,19,0.05,2.0000000000000004,False,False
0.2,0.5,100,20,0.05,2.0000000000000004,False,False
0.2,0.5,100,21,0.05,2.0000000000000004,False,False
0.2,0.5,100,22,0.05,2.0000000000000004,False,False
0.2,0.5,100,23,0.05,2.0000000000000004,False,False
0.2,0.5,100,24,0.05,2.0000000000000004,False,False
0.2,0.5,100,25,0.05,2.0000000000000004,False,False
0.2,0.5,100,26,0.05,2.0000000000000004,False,False
0.2,0.5,100,27,0.05,2.0000000000000004,False,False
0.2,0.5,100,28,0.05,2.0000000000000004,False,False
0.2,0.5,100,29,0.05,2.0000000000000004,False,False
0.2,0.5,200,0,0.05,4.000000000000001,False,False
0.2,0.5,200,1,0.05,4.000000000000001,False,False
0.2,0.5,200,2,0.05,4.000000000000001,False,False
0.2,0.5,200,3,0.05,4.000000000000001,False,False
0.2,0.5,200,4,0.05,4.000000000000001,False,False
0.2,0.5,200,5,0.05,4.000000000000001,False,False
0.2,0.5,200,6,0.05,4.000000000000001,False,False
0.2,0.5,200,7,0.05,4.000000000000001,False,False
0.2,0.5,200,8,0.05,4.000000000000001,False,False
0.2,0.5,200,9,0.05,4.000000000000001,False,False
0.2,0.5,200,10,0.05,4.000000000000001,False,False
0.2,0.5,200,11,0.05,4.000000000000001,False,False
0.2,0.5,200,12,0.05,4.000000000000001,False,False
0.2,0.5,200,13,0.05,4.000000000000001,False,False
0.2,0.5,200,14,0.05,4.000000000000001,False,False
0.2,0.5,200,15,0.05,4.000000000000001,False,False
0.2,0.5,200,16,0.05,4.000000000000001,False,False
0.2,0.5,200,17,0.05,4.000000000000001,False,False
0.2,0.5,200,18,0.05,4.000000000000001,False,False
0.2,0.5,200,19,0.05,4.000000000000001,False,False
0.2,0.5,200,20,0.05,4.000000000000001,False,False
0.2,0.5,200,21,0.05,4.000000000000001,False,False
0.2,0.5,200,22,0.05,4.000000000000001,False,False
0.2,0.5,200,23,0.05,4.000000000000001,False,False
0.2,0.5,200,24,0.05,4.000000000000001,False,False
0.2,0.5,200,25,0.05,4.000000000000001,False,False
0.2,0.5,200,26,0.05,4.000000000000001,False,False
0.2,0.5,200,27,0.05,4.000000000000001,False,False
0.2,0.5,200,28,0.05,4.000000000000001,False,False
0.2,0.5,200,29,0.05,4.000000000000001,False,False
0.2,0.5,500,0,0.05,10.000000000000002,False,False
0.2,0.5,500,1,0.05,10.000000000000002,False,False
0.2,0.5,500,2,0.05,10.000000000000002,False,False
0.2,0.5,500,3,0.05,10.000000000000002,True,False
0.2,0.5,500,4,0.05,10.000000000000002,False,False
0.2,0.5,500,5,0.05,10.000000000000002,False,False
0.2,0.5,500,6,0.05,10.000000000000002,False,False
0.2,0.5,500,7,0.05,10.000000000000002,False,False
0.2,0.5,500,8,0.05,10.000000000000002,False,False
0.2,0.5,500,9,0.05,10.000000000000002,False,False
0.2,0.5,500,10,0.05,10.000000000000002,False,False
0.2,0.5,500,11,0.05,10.000000000000002,False,False
0.2,0.5,500,12,0.05,10.000000000000002,False,False
0.2,0.5,500,13,0.05,10.000000000000002,False,False
0.2,0.5,500,14,0.05,10.000000000000002,False,False
0.2,0.5,500,15,0.05,10.000000000000002,False,False
0.2,0.5,500,16,0.05,10.000000000000002,False,False
0.2,0.5,500,17,0.05,10.000000000000002,False,False
0.2,0.5,500,18,0.05,10.000000000000002,False,False
0.2,0.5,500,19,0.05,10.000000000000002,False,False
0.2,0.5,500,20,0.05,10.000000000000002,False,False
0.2,0.5,500,21,0.05,10.000000000000002,False,False
0.2,0.5,500,22,0.05,10.000000000000002,False,False
0.2,0.5,500,23,0.05,10.000000000000002,False,False
0.2,0.5,500,24,0.05,10.000000000000002,False,False
0.2,0.5,500,25,0.05,10.000000000000002,False,False
0.2,0.5,500,26,0.05,10.000000000000002,False,False
0.2,0.5,500,27,0.05,10.000000000000002,False,False
0.2,0.5,500,28,0.05,10.000000000000002,False,False
0.2,0.5,500,29,0.05,10.000000000000002,False,False
0.2,0.5,1000,0,0.05,20.000000000000004,True,False
0.2,0.5,1000,1,0.05,20.000000000000004,True,False
0.2,0.5,1000,2,0.05,20.000000000000004,True,False
0.2,0.5,1000,3,0.05,20.000000000000004,True,False
0.2,0.5,1000,4,0.05,20.000000000000004,True,False
0.2,0.5,1000,5,0.05,20.000000000000004,False,False
0.2,0.5,1000,6,0.05,20.000000000000004,True,False
0.2,0.5,1000,7,0.05,20.000000000000004,True,False
0.2,0.5,1000,8,0.05,20.000000000000004,True,False
0.2,0.5,1000,9,0.05,20.000000000000004,True,False
0.2,0.5,1000,10,0.05,20.000000000000004,True,False
0.2,0.5,1000,11,0.05,20.000000000000004,False,False
0.2,0.5,1000,12,0.05,20.000000000000004,False,False
0.2,0.5,1000,13,0.05,20.000000000000004,True,False
0.2,0.5,1000,14,0.05,20.000000000000004,False,False
0.2,0.5,1000,15,0.05,20.000000000000004,True,False
0.2,0.5,1000,16,0.05,20.000000000000004,True,False
0.2,0.5,1000,17,0.05,20.000000000000004,False,False
0.2,0.5,1000,18,0.05,20.000000000000004,False,False
0.2,0.5,1000,19,0.05,20.000000000000004,False,False
0.2,0.5,1000,20,0.05,20.000000000000004,False,False
0.2,0.5,1000,21,0.05,20.000000000000004,False,False
0.2,0.5,1000,22,0.05,20.000000000000004,False,False
0.2,0.5,1000,23,0.05,20.000000000000004,False,False
0.2,0.5,1000,24,0.05,20.000000000000004,True,False
0.2,0.5,1000,25,0.05,20.000000000000004,True,False
0.2,0.5,1000,26,0.05,20.000000000000004,True,False
0.2,0.5,1000,27,0.05,20.000000000000004,False,False
0.2,0.5,1000,28,0.05,20.000000000000004,False,False
0.2,0.5,1000,29,0.05,20.000000000000004,True,False
0.2,0.5,2000,0,0.05,40.00000000000001,True,False
0.2,0.5,2000,1,0.05,40.00000000000001,True,False
0.2,0.5,2000,2,0.05,40.00000000000001,True,False
0.2,0.5,2000,3,0.05,40.00000000000001,True,False
0.2,0.5,2000,4,0.05,40.00000000000001,True,False
0.2,0.5,2000,5,0.05,40.00000000000001,True,False
0.2,0.5,2000,6,0.05,40.00000000000001,True,False
0.2,0.5,2000,7,0.05,40.00000000000001,True,False
0.2,0.5,2000,8,0.05,40.00000000000001,True,False
0.2,0.5,2000,9,0.05,40.00000000000001,True,False
0.2,0.5,2000,10,0.05,40.00000000000001,True,False
0.2,0.5,2000,11,0.05,40.00000000000001,True,False
0.2,0.5,2000,12,0.05,40.00000000000001,True,False
0.2,0.5,2000,13,0.05,40.00000000000001,True,False
0.2,0.5,2000,14,0.05,40.00000000000001,True,False
0.2,0.5,2000,15,0.05,40.00000000000001,True,False
0.2,0.5,2000,16,0.05,40.00000000000001,True,False
0.2,0.5,2000,17,0.05,40.00000000000001,True,False
0.2,0.5,2000,18,0.05,40.00000000000001,True,False
0.2,0.5,2000,19,0.05,40.00000000000001,True,False
0.2,0.5,2000,20,0.05,40.00000000000001,True,False
0.2,0.5,2000,21,0.05,40.00000000000001,True,False
0.2,0.5,2000,22,0.05,40.00000000000001,True,False
0.2,0.5,2000,23,0.05,40.00000000000001,True,False
0.2,0.5,2000,24,0.05,40.00000000000001,True,False
0.2,0.5,2000,25,0.05,40.00000000000001,True,False
0.2,0.5,2000,26,0.05,40.00000000000001,True,False
0.2,0.5,2000,27,0.05,40.00000000000001,True,False
0.2,0.5,2000,28,0.05,40.00000000000001,True,False
0.2,0.5,2000,29,0.05,40.00000000000001,True,False
0.2,0.5,5000,0,0.05,100.00000000000001,True,False
0.2,0.5,5000,1,0.05,100.00000000000001,True,False
0.2,0.5,5000,2,0.05,100.00000000000001,True,False
0.2,0.5,5000,3,0.05,100.00000000000001,True,False
0.2,0.5,5000,4,0.05,100.00000000000001,True,False
0.2,0.5,5000,5,0.05,100.00000000000001,True,False
0.2,0.5,5000,6,0.05,100.00000000000001,True,False
0.2,0.5,5000,7,0.05,100.00000000000001,True,False
0.2,0.5,5000,8,0.05,100.00000000000001,True,False
0.2,0.5,5000,9,0.05,100.00000000000001,True,False
0.2,0.5,5000,10,0.05,100.00000000000001,True,False
0.2,0.5,5000,11,0.05,100.00000000000001,True,False
0.2,0.5,5000,12,0.05,100.00000000000001,True,False
0.2,0.5,5000,13,0.05,100.00000000000001,True,False
0.2,0.5,5000,14,0.05,100.00000000000001,True,False
0.2,0.5,5000,15,0.05,100.00000000000001,True,False
0.2,0.5,5000,16,0.05,100.00000000000001,True,False
0.2,0.5,5000,17,0.05,100.00000000000001,True,False
0.2,0.5,5000,18,0.05,100.00000000000001,True,False
0.2,0.5,5000,19,0.05,100.00000000000001,True,False
0.2,0.5,5000,20,0.05,100.00000000000001,True,False
0.2,0.5,5000,21,0.05,100.00000000000001,True,False
0.2,0.5,5000,22,0.05,100.00000000000001,True,False
0.2,0.5,5000,23,0.05,100.00000000000001,True,False
0.2,0.5,5000,24,0.05,100.00000000000001,True,False
0.2,0.5,5000,25,0.05,100.00000000000001,True,False
0.2,0.5,5000,26,0.05,100.00000000000001,True,False
0.2,0.5,5000,27,0.05,100.00000000000001,True,False
0.2,0.5,5000,28,0.05,100.00000000000001,True,False
0.2,0.5,5000,29,0.05,100.00000000000001,True,False
0.2,0.5,10000,0,0.05,200.00000000000003,True,False
0.2,0.5,10000,1,0.05,200.00000000000003,True,False
0.2,0.5,10000,2,0.05,200.00000000000003,True,False
0.2,0.5,10000,3,0.05,200.00000000000003,True,False
0.2,0.5,10000,4,0.05,200.00000000000003,True,False
0.2,0.5,10000,5,0.05,200.00000000000003,True,False
0.2,0.5,10000,6,0.05,200.00000000000003,True,False
0.2,0.5,10000,7,0.05,200.00000000000003,True,False
0.2,0.5,10000,8,0.05,200.00000000000003,True,False
0.2,0.5,10000,9,0.05,200.00000000000003,True,False
0.2,0.5,10000,10,0.05,200.00000000000003,True,False
0.2,0.5,10000,11,0.05,200.00000000000003,True,False
0.2,0.5,10000,12,0.05,200.00000000000003,True,False
0.2,0.5,10000,13,0.05,200.00000000000003,True,False
0.2,0.5,10000,14,0.05,200.00000000000003,True,False
0.2,0.5,10000,15,0.05,200.00000000000003,True,False
0.2,0.5,10000,16,0.05,200.00000000000003,True,False
0.2,0.5,10000,17,0.05,200.00000000000003,True,False
0.2,0.5,10000,18,0.05,200.00000000000003,True,False
0.2,0.5,10000,19,0.05,200.00000000000003,True,False
0.2,0.5,10000,20,0.05,200.00000000000003,True,False
0.2,0.5,10000,21,0.05,200.00000000000003,True,False
0.2,0.5,10000,22,0.05,200.00000000000003,True,False
0.2,0.5,10000,23,0.05,200.00000000000003,True,False
0.2,0.5,10000,24,0.05,200.00000000000003,True,False
0.2,0.5,10000,25,0.05,200.00000000000003,True,False
0.2,0.5,10000,26,0.05,200.00000000000003,True,False
0.2,0.5,10000,27,0.05,200.00000000000003,True,False
0.2,0.5,10000,28,0.05,200.00000000000003,True,False
0.2,0.5,10000,29,0.05,200.00000000000003,True,False
0.2,0.5,20000,0,0.05,400.00000000000006,True,False
0.2,0.5,20000,1,0.05,400.00000000000006,True,False
0.2,0.5,20000,2,0.05,400.00000000000006,True,False
0.2,0.5,20000,3,0.05,400.00000000000006,True,False
0.2,0.5,20000,4,0.05,400.00000000000006,True,False
0.2,0.5,20000,5,0.05,400.00000000000006,True,False
0.2,0.5,20000,6,0.05,400.00000000000006,True,False
0.2,0.5,20000,7,0.05,400.00000000000006,True,False
0.2,0.5,20000,8,0.05,400.00000000000006,True,False
0.2,0.5,20000,9,0.05,400.00000000000006,True,False
0.2,0.5,20000,10,0.05,400.00000000000006,True,False
0.2,0.5,20000,11,0.05,400.00000000000006,True,False
0.2,0.5,20000,12,0.05,400.00000000000006,True,False
0.2,0.5,20000,13,0.05,400.00000000000006,True,False
0.2,0.5,20000,14,0.05,400.00000000000006,True,False
0.2,0.5,20000,15,0.05,400.00000000000006,True,False
0.2,0.5,20000,16,0.05,400.00000000000006,True,False
0.2,0.5,20000,17,0.05,400.00000000000006,True,False
0.2,0.5,20000,18,0.05,400.00000000000006,True,False
0.2,0.5,20000,19,0.05,400.00000000000006,True,False
0.2,0.5,20000,20,0.05,400.00000000000006,True,False
0.2,0.5,20000,21,0.05,400.00000000000006,True,False
0.2,0.5,20000,22,0.05,400.00000000000006,True,False
0.2,0.5,20000,23,0.05,400.00000000000006,True,False
0.2,0.5,20000,24,0.05,400.00000000000006,True,False
0.2,0.5,20000,25,0.05,400.00000000000006,True,False
0.2,0.5,20000,26,0.05,400.00000000000006,True,False
0.2,0.5,20000,27,0.05,400.00000000000006,True,False
0.2,0.5,20000,28,0.05,400.00000000000006,True,False
0.2,0.5,20000,29,0.05,400.00000000000006,True,False
0.3,0.05,100,0,0.075,0.44999999999999996,False,False
0.3,0.05,100,1,0.075,0.44999999999999996,False,False
